date,sentiment_score,volume
2019-08-22,-0.0263,6343
2019-08-23,-0.0107,9084
2019-08-24,-0.0217,7104
2019-08-25,-0.0351,4406
2019-08-26,-0.0406,5084
2019-08-27,-0.0125,3641
2019-08-28,-0.0233,4134
2019-08-29,-0.0161,3583
2019-08-30,-0.0073,4902
2019-08-31,-0.0386,5488
2019-09-01,-0.0284,8007
2019-09-02,-0.0338,11229
2019-09-03,-0.0375,7258
2019-09-04,-0.0335,5156
2019-09-05,-0.0258,7416
2019-09-06,-0.0347,4476
2019-09-07,-0.0256,7269
2019-09-08,-0.0197,4789
2019-09-09,-0.0113,4725
2019-09-10,-0.031,2727
2019-09-11,-0.0249,5783
2019-09-12,-0.0306,7378
2019-09-13,-0.0362,7914
2019-09-14,-0.0345,9336
2019-09-15,-0.038,9186
2019-09-16,-0.0565,7218
2019-09-17,-0.0508,6871
2019-09-18,-0.0495,7191
2019-09-19,-0.0172,8812
2019-09-20,-0.0102,7403
2019-09-21,-0.0192,7260
2019-09-22,-0.0344,4673
2019-09-23,-0.0228,8257
2019-09-24,-0.0304,5966
2019-09-25,-0.0238,3460
2019-09-26,-0.018,7510
2019-09-27,-0.0439,6288
2019-09-28,-0.06,5914
2019-09-29,-0.0256,9451
2019-09-30,-0.036,6128
2019-10-01,-0.0302,4315
2019-10-02,-0.022,3618
2019-10-03,-0.0586,5041
2019-10-04,-0.0546,5024
2019-10-05,-0.044,10878
2019-10-06,-0.0237,9099
2019-10-07,-0.0306,3537
2019-10-08,-0.0426,4191
2019-10-09,-0.0293,3702
2019-10-10,-0.0501,4018
2019-10-11,-0.0253,4442
2019-10-12,-0.0037,4763
2019-10-13,-0.0342,7500
2019-10-14,-0.0339,4765
2019-10-15,-0.0245,5910
2019-10-16,-0.0295,5605
2019-10-17,-0.0355,4109
2019-10-18,-0.0322,3652
2019-10-19,-0.049,2734
2019-10-20,-0.06,2094
2019-10-21,-0.0387,2674
2019-10-22,-0.0434,3033
2019-10-23,-0.0389,3156
2019-10-24,-0.0578,3600
2019-10-25,-0.0241,3520
2019-10-26,-0.0317,2654
2019-10-27,-0.0468,1973
2019-10-28,-0.033,2689
2019-10-29,-0.0236,3772
2019-10-30,-0.0434,4967
2019-10-31,-0.0441,3783
2019-11-01,-0.0506,5907
2019-11-02,-0.041,6930
2019-11-03,-0.0513,5534
2019-11-04,-0.0401,3083
2019-11-05,-0.0146,4189
2019-11-06,-0.0274,2822
2019-11-07,-0.0375,3290
2019-11-08,-0.0317,3291
2019-11-09,-0.0334,3624
2019-11-10,-0.0449,3632
2019-11-11,-0.0509,1817
2019-11-12,-0.0285,1884
2019-11-13,-0.0476,2845
2019-11-14,-0.0439,5542
2019-11-15,-0.0359,2856
2019-11-16,-0.036,4538
2019-11-17,-0.0231,7216
2019-11-18,-0.018,4639
2019-11-19,-0.0284,4310
2019-11-20,-0.0281,2532
2019-11-21,-0.0196,2738
2019-11-22,-0.0333,4326
2019-11-23,-0.0146,5912
2019-11-24,-0.0385,3251
2019-11-25,-0.0481,4053
2019-11-26,-0.0465,3031
2019-11-27,-0.0387,3229
2019-11-28,-0.0453,2490
2019-11-29,-0.0508,1912
2019-11-30,-0.04,1571
2019-12-01,-0.0492,1490
2019-12-02,-0.0396,1303
2019-12-03,-0.0305,2145
2019-12-04,-0.0367,2740
2019-12-05,-0.0294,3864
2019-12-06,-0.0358,4973
2019-12-07,-0.0444,4378
2019-12-08,-0.0354,3417
2019-12-09,-0.0292,3026
2019-12-10,-0.0419,2531
2019-12-11,-0.0503,3196
2019-12-12,-0.0331,2228
2019-12-13,-0.0357,2181
2019-12-14,-0.0222,1606
2019-12-15,-0.0457,2456
2019-12-16,-0.0335,2291
2019-12-17,-0.0463,3691
2019-12-18,-0.0344,3977
2019-12-19,-0.0307,4115
2019-12-20,-0.041,3213
2019-12-21,-0.0251,4150
2019-12-22,-0.0295,2509
2019-12-23,-0.046,2713
2019-12-24,-0.0168,2059
2019-12-25,-0.0316,1817
2019-12-26,-0.0262,2702
2019-12-27,-0.0297,2984
2019-12-28,-0.0116,3638
2019-12-29,-0.0186,3970
2019-12-30,-0.012,4012
2019-12-31,-0.0226,2626
2020-01-01,-0.0103,2056
2020-01-02,-0.036,3278
2020-01-03,-0.0322,2908
2020-01-04,-0.0316,1940
2020-01-05,-0.0382,3042
2020-01-06,-0.0376,2560
2020-01-07,-0.0514,3695
2020-01-08,-0.0555,2476
2020-01-09,-0.041,2079
2020-01-10,-0.0136,2927
2020-01-11,-0.027,1893
2020-01-12,-0.0407,2420
2020-01-13,-0.0281,2533
2020-01-14,-0.0468,2508
2020-01-15,-0.0333,3129
2020-01-16,-0.0336,3262
2020-01-17,-0.0232,3381
2020-01-18,-0.0331,3624
2020-01-19,-0.0232,4112
2020-01-20,-0.034,2910
2020-01-21,-0.0257,2769
2020-01-22,-0.0391,3875
2020-01-23,-0.0282,3353
2020-01-24,-0.0334,2500
2020-01-25,-0.0299,4550
2020-01-26,-0.0366,3763
2020-01-27,-0.0252,2935
2020-01-28,-0.0397,5389
2020-01-29,-0.0363,4493
2020-01-30,-0.0379,4473
2020-01-31,-0.0298,3112
2020-02-01,-0.0326,2725
2020-02-02,-0.0521,3931
2020-02-03,-0.0437,4100
2020-02-04,-0.0057,3130
2020-02-05,-0.0304,2802
2020-02-06,-0.0533,3282
2020-02-07,-0.0511,3192
2020-02-08,-0.0313,2094
2020-02-09,-0.0203,1551
2020-02-10,-0.0279,1620
2020-02-11,-0.0481,2689
2020-02-12,-0.0387,5424
2020-02-13,-0.034,4184
2020-02-14,-0.037,2649
2020-02-15,-0.0296,2241
2020-02-16,-0.034,3610
2020-02-17,-0.0275,4471
2020-02-18,-0.0424,4470
2020-02-19,-0.0394,6726
2020-02-20,-0.054,7046
2020-02-21,-0.0411,4275
2020-02-22,-0.0586,969
2020-02-23,-0.0532,4933
2020-02-24,-0.0502,2316
2020-02-25,-0.0423,1354
2020-02-26,-0.0054,4331
2020-02-27,-0.0122,5362
2020-02-28,-0.0624,3750
2020-02-29,-0.0355,4191
2020-03-01,-0.0428,4601
2020-03-02,-0.0275,5456
2020-03-03,-0.0498,6258
2020-03-04,-0.0495,2651
2020-03-05,-0.0465,3130
2020-03-06,-0.0626,4341
2020-03-07,-0.0474,2894
2020-03-08,-0.0925,4984
2020-03-09,-0.0483,2425
2020-03-10,-0.042,2040
2020-03-11,-0.0605,1850
2020-03-12,-0.0536,1451
2020-03-13,-0.043,3217
2020-03-14,-0.0678,7079
2020-03-15,-0.0633,3571
2020-03-16,-0.0693,3159
2020-03-17,-0.0835,4005
2020-03-18,-0.0845,3995
2020-03-19,-0.0525,3064
2020-03-20,-0.0562,3294
2020-03-21,-0.0403,2401
2020-03-22,-0.0504,1656
2020-03-23,-0.0933,4125
2020-03-24,-0.0671,2226
2020-03-25,-0.0615,1868
2020-03-26,-0.12,3246
2020-03-27,-0.0566,2445
2020-03-28,-0.0219,2062
2020-03-29,-0.0426,2309
2020-03-30,-0.0409,2480
2020-03-31,-0.0323,3289
2020-04-01,-0.0358,4072
2020-04-02,-0.0439,1972
2020-04-03,0.0064,2935
2020-04-04,-0.0101,2277
2020-04-05,-0.0213,3173
2020-04-06,-0.0404,5364
2020-04-07,-0.0623,4037
2020-04-08,-0.0339,5542
2020-04-09,-0.0284,4150
2020-04-10,-0.0389,2482
2020-04-11,-0.0469,1790
2020-04-12,-0.0655,5547
2020-04-13,-0.0436,5947
2020-04-14,-0.0434,5553
2020-04-15,-0.0253,4587
2020-04-16,-0.0479,4437
2020-04-17,-0.0389,3693
2020-04-18,-0.0286,5802
2020-04-19,-0.0362,5227
2020-04-20,-0.0531,5341
2020-04-21,-0.0374,4971
2020-04-22,-0.0432,3696
2020-04-23,-0.0396,2947
2020-04-24,-0.0406,1465
2020-04-25,-0.0356,1977
2020-04-26,-0.0403,1706
2020-04-27,-0.0455,1663
2020-04-28,-0.0463,2580
2020-04-29,-0.0421,1441
2020-04-30,-0.0354,2663
2020-05-01,-0.0374,3065
2020-05-02,-0.0311,3348
2020-05-03,-0.0269,2395
2020-05-04,-0.027,2467
2020-05-05,-0.0309,4241
2020-05-06,-0.0336,11517
2020-05-07,-0.0499,10032
2020-05-08,-0.0353,7082
2020-05-09,-0.0276,3175
2020-05-10,-0.0532,5032
2020-05-11,-0.0299,5203
2020-05-12,-0.0293,3698
2020-05-13,-0.0922,11348
2020-05-14,-0.0855,12828
2020-05-15,-0.0678,4978
2020-05-16,-0.0373,4143
2020-05-17,-0.0378,2577
2020-05-18,-0.0361,2039
2020-05-19,-0.0425,2853
2020-05-20,-0.0309,3853
2020-05-21,-0.0539,6056
2020-05-22,-0.0573,2352
2020-05-23,-0.0457,2014
2020-05-24,-0.0519,2053
2020-05-25,-0.0315,2278
2020-05-26,-0.0391,1682
