date,sentiment_score,volume
2020-02-22,-0.0622,7688
2020-02-23,-0.0491,22042
2020-02-24,-0.0447,13361
2020-02-25,-0.0459,7526
2020-02-26,-0.0333,15464
2020-02-27,-0.0244,19543
2020-02-28,-0.0497,16443
2020-02-29,-0.0472,22848
2020-03-01,-0.0537,18566
2020-03-02,-0.0367,22978
2020-03-03,-0.0415,21295
2020-03-04,-0.0485,10748
2020-03-05,-0.0528,16576
2020-03-06,-0.0502,16497
2020-03-07,-0.047,13455
2020-03-08,-0.0705,15103
2020-03-09,-0.0598,11110
2020-03-10,-0.0437,10177
2020-03-11,-0.043,11054
2020-03-12,-0.0669,9729
2020-03-13,-0.0544,13029
2020-03-14,-0.0602,23979
2020-03-15,-0.0611,15912
2020-03-16,-0.0619,11613
2020-03-17,-0.0697,14812
2020-03-18,-0.0666,13447
2020-03-19,-0.0432,11072
2020-03-20,-0.0414,10749
2020-03-21,-0.038,10901
2020-03-22,-0.0442,7648
2020-03-23,-0.0534,11569
2020-03-24,-0.0485,8882
2020-03-25,-0.036,9161
2020-03-26,-0.0684,10706
2020-03-27,-0.0466,11976
2020-03-28,-0.0376,11724
2020-03-29,-0.0384,11424
2020-03-30,-0.0352,9625
2020-03-31,-0.0225,16315
2020-04-01,-0.0363,12320
2020-04-02,-0.0479,7550
2020-04-03,-0.0247,8080
2020-04-04,-0.0305,7972
2020-04-05,-0.0294,9470
2020-04-06,-0.0375,12386
2020-04-07,-0.0463,10766
2020-04-08,-0.0394,12932
2020-04-09,-0.0433,11462
2020-04-10,-0.0496,8477
2020-04-11,-0.0478,6038
2020-04-12,-0.0552,15351
2020-04-13,-0.0564,18901
2020-04-14,-0.0444,16521
2020-04-15,-0.0246,14194
2020-04-16,-0.0447,15762
2020-04-17,-0.0395,14118
2020-04-18,-0.034,17635
2020-04-19,-0.0407,18060
2020-04-20,-0.0498,13625
2020-04-21,-0.0397,12174
2020-04-22,-0.0372,12866
2020-04-23,-0.0446,10112
2020-04-24,-0.0338,5862
2020-04-25,-0.0297,5007
2020-04-26,-0.0308,5939
2020-04-27,-0.0529,8508
2020-04-28,-0.0386,7770
2020-04-29,-0.0558,10225
2020-04-30,-0.0367,9709
2020-05-01,-0.0314,9680
2020-05-02,-0.043,10739
2020-05-03,-0.0384,8541
2020-05-04,-0.0366,8074
2020-05-05,-0.0326,14416
2020-05-06,-0.0381,40001
2020-05-07,-0.0421,28920
2020-05-08,-0.0283,20796
2020-05-09,-0.0224,11710
2020-05-10,-0.0366,17597
2020-05-11,-0.028,26271
2020-05-12,-0.0279,18531
2020-05-13,-0.0735,32808
2020-05-14,-0.0688,34253
2020-05-15,-0.0463,16958
2020-05-16,-0.038,13565
2020-05-17,-0.0342,10212
2020-05-18,-0.031,8686
2020-05-19,-0.0339,11079
2020-05-20,-0.0292,11532
2020-05-21,-0.0374,14836
2020-05-22,-0.0538,8940
2020-05-23,-0.0378,8446
2020-05-24,-0.0385,8030
2020-05-25,-0.0289,10400
2020-05-26,-0.0277,9815
