Giorno,Indice
20190304,2.050885433
20190305,0.544418426
20190306,0.045688286
20190307,0.802601921
20190308,-2.048495865
20190309,-0.503798373
20190310,-0.809567841
20190311,0.265016354
20190312,0.511274965
20190313,0.570444137
20190314,1.009064463
20190315,-0.454141647
20190316,0.259775809
20190317,-0.427017601
20190318,-0.126723815
20190319,0.119265508
20190320,-0.237406118
20190321,1.168528425
20190322,0.415458401
20190323,0.238997671
20190324,0.312139039
20190325,-0.206708718
20190326,-0.452405426
20190327,0.445208771
20190328,0.148421018
20190329,-0.339537709
20190330,1.578924954
20190331,1.077419357
20190401,-0.034773545
20190402,-0.357547201
20190403,-1.222613344
20190404,-0.861237419
20190405,-0.692041682
20190406,-0.877154181
20190407,-0.06204524
20190408,-0.324150866
20190409,-0.53232966
20190410,-0.981777776
20190411,0.083968913
20190412,1.106501914
20190413,-1.158859445
20190414,-0.917106685
20190415,-0.223479977
20190416,-0.111467254
20190417,-0.423347218
20190418,0.177330882
20190419,2.119953797
20190420,0.698066351
20190421,0.232714974
20190422,-2.191608103
20190423,-1.053972684
20190424,-1.127891307
20190425,-0.404617113
20190426,-0.528400361
20190427,-0.368700912
20190428,0.186726686
20190429,2.534809904
20190430,1.832550822
20190501,1.125417173
20190502,0.450263578
20190503,-1.114407288
20190504,-1.091246348
20190505,0.25774719
20190506,0.772331503
20190507,-0.061218306
20190508,0.111683369
20190509,0.70417167
20190510,0.365015888
20190511,-0.192246638
20190512,-0.863410541
20190513,-1.600694831
20190514,-2.594681757
20190515,-2.21347668
20190516,-1.516673776
20190517,-0.543755333
20190518,-2.630287698
20190519,-0.879369286
20190520,0.726163486
20190521,1.367011357
20190522,1.016722929
20190523,-0.467762831
20190524,-0.379310327
20190525,0.239732893
20190526,0.334650848
20190527,0.314720098
20190528,0.087372763
20190529,-0.401255059
20190530,-1.222505289
20190531,-3.240602244
20190601,-1.96311414
20190602,-0.866890772
20190603,-0.278916386
20190604,-1.398223836
20190605,-1.036898119
20190606,-1.394229199
20190607,0.125639009
20190608,-2.713537428
20190609,-0.590469545
20190610,-0.558882731
20190611,-0.653326457
20190612,-0.736155087
20190613,-2.239264846
20190614,0.513752936
20190615,0.650994228
20190616,0.183536305
20190617,0.371014453
20190618,-0.693238086
20190619,0.600232834
20190620,-0.756832089
20190621,-1.444117339
20190622,-1.633725472
20190623,-0.843499321
20190624,-3.172202258
20190625,-0.565402136
20190626,-0.658531928
20190627,-1.541010863
20190628,-0.838957269
20190629,-0.906412607
20190630,-0.87404048
20190701,1.133029843
20190702,1.070173661
20190703,0.272471264
20190704,-0.162701869
20190705,0.229193465
20190706,-1.500509876
20190707,-0.160220059
20190708,-1.373141595
20190709,-0.577786336
20190710,0.798958203
20190711,2.6283401
20190712,2.389571504
20190713,0.117909972
20190714,0.703901579
20190715,-0.971429637
20190716,1.014839115
20190717,1.961251283
20190718,-0.33237621
20190719,-0.93738826
20190720,-2.059466036
20190721,-0.939458581
20190722,0.056523513
20190723,2.312444501
20190724,-0.309965311
20190725,-0.444434507
20190726,-1.396844597
20190727,-1.372881246
20190728,-0.187609802
20190729,-0.463724845
20190730,-0.442010187
20190731,1.175463415
20190801,-0.553860888
20190802,-2.216723907
20190803,-1.557995063
20190804,1.176885818
20190805,-1.675157637
20190806,-0.185415866
20190807,-1.943226398
